parametres,methode_reduction,kernel,accuracy_train,accuracy_test,duree
Par défaut,ACP,linear,0.9203980099502488,0.8208955223880597,0.9543077945709229
Par défaut,ACP,rbf,0.9154228855721394,0.8656716417910447,0.005984067916870117
Par défaut,NMF,linear,0.900497512437811,0.8507462686567164,0.003952980041503906
Par défaut,NMF,rbf,0.9303482587064676,0.835820895522388,0.004985332489013672
Par défaut,No Reduction,linear,1.0,0.8805970149253731,0.6991691589355469
Par défaut,No Reduction,rbf,0.9253731343283582,0.8507462686567164,1.0521888732910156
Best estimator ACP,ACP,linear,0.9154228855721394,0.8059701492537313,0.0455327033996582
Best estimator NMF,NMF,rbf,0.9253731343283582,0.8208955223880597,0.006441354751586914
Best estimator No Reduction,No Reduction,linear,0.9253731343283582,0.8507462686567164,0.9991371631622314
